event_code,event_name,timestamp,trial_number,trial_type
1,Trial Start,0.0,1,2
3,Odor On,4.668437330467795,1,2
4,Odor Off,6.668437330467795,1,2
7,Lick,8.666532591465916,1,2
7,Lick,8.789201026499553,1,2
7,Lick,8.907637965748801,1,2
7,Lick,9.028091297176474,1,2
2,Trial End,10.028091297176474,1,2
1,Trial Start,10.028091297176474,2,2
3,Odor On,15.054683230561462,2,2
7,Lick,16.873983834877546,2,2
4,Odor Off,17.054683230561462,2,2
1,Trial Start,17.873983834877546,3,1
2,Trial End,17.873983834877546,2,2
7,Lick,20.886836162706473,3,1
7,Lick,22.8857756970654,3,1
3,Odor On,22.89114953917286,3,1
7,Lick,22.980865798175415,3,1
7,Lick,24.694888631344895,3,1
7,Lick,24.794704685721744,3,1
7,Lick,24.89083081619235,3,1
4,Odor Off,24.89114953917286,3,1
5,Reward On,24.89114953917286,3,1
7,Lick,24.964806039328586,3,1
7,Lick,25.360719589083384,3,1
6,Reward Off,25.39114953917286,3,1
7,Lick,25.429147947609916,3,1
7,Lick,25.816741291185277,3,1
7,Lick,25.894289975349686,3,1
7,Lick,25.981060729025103,3,1
7,Lick,26.760161471248,3,1
7,Lick,26.832483727875243,3,1
7,Lick,27.220470966680928,3,1
7,Lick,27.283634678254625,3,1
7,Lick,27.672699516903734,3,1
7,Lick,27.754508437321487,3,1
2,Trial End,28.754508437321487,3,1
1,Trial Start,28.754508437321487,4,1
3,Odor On,33.53645774621873,4,1
4,Odor Off,35.53645774621873,4,1
5,Reward On,35.53645774621873,4,1
7,Lick,35.73497985055204,4,1
6,Reward Off,36.03645774621873,4,1
7,Lick,36.51836519175335,4,1
7,Lick,37.09044999819264,4,1
7,Lick,37.88181183335398,4,1
7,Lick,38.254653635001716,4,1
7,Lick,38.52780773292479,4,1
7,Lick,38.61691939150262,4,1
2,Trial End,39.61691939150262,4,1
1,Trial Start,39.61691939150262,5,2
3,Odor On,44.43155348003322,5,2
7,Lick,44.7235365233666,5,2
2,Trial End,45.7235365233666,5,2
1,Trial Start,45.7235365233666,6,1
4,Odor Off,46.43155348003322,5,2
7,Lick,46.53223178465918,6,1
7,Lick,46.64324169766607,6,1
7,Lick,46.760859694854375,6,1
3,Odor On,50.52618887875151,6,1
7,Lick,51.433477590111984,6,1
7,Lick,51.50676152536328,6,1
7,Lick,51.6422522987844,6,1
4,Odor Off,52.52618887875151,6,1
5,Reward On,52.52618887875151,6,1
7,Lick,52.53539941365705,6,1
7,Lick,52.60868127394426,6,1
6,Reward Off,53.02618887875151,6,1
7,Lick,54.186135365719885,6,1
7,Lick,54.26166092041408,6,1
7,Lick,54.34524483567014,6,1
7,Lick,54.41840706298034,6,1
7,Lick,54.501267223019596,6,1
7,Lick,54.892019030671506,6,1
7,Lick,55.47510966018448,6,1
2,Trial End,56.47510966018448,6,1
1,Trial Start,56.47510966018448,7,1
3,Odor On,61.78768247345414,7,1
7,Lick,62.08922340066265,7,1
7,Lick,63.50532655134486,7,1
7,Lick,63.595116242969254,7,1
4,Odor Off,63.78768247345414,7,1
5,Reward On,63.78768247345414,7,1
7,Lick,63.79035672567297,7,1
7,Lick,64.1715471582214,7,1
7,Lick,64.24220063717672,7,1
6,Reward Off,64.28768247345414,7,1
7,Lick,64.62114553340261,7,1
7,Lick,65.00214227767711,7,1
7,Lick,65.38256862685563,7,1
1,Trial Start,66.38256862685563,8,2
2,Trial End,66.38256862685563,7,1
3,Odor On,71.85793370585162,8,2
7,Lick,71.87001577483223,8,2
7,Lick,73.27149533419411,8,2
7,Lick,73.74527890214429,8,2
4,Odor Off,73.85793370585162,8,2
2,Trial End,74.74527890214429,8,2
1,Trial Start,74.74527890214429,9,2
3,Odor On,79.44642714685084,9,2
4,Odor Off,81.44642714685084,9,2
2,Trial End,86.44642714685084,9,2
1,Trial Start,86.44642714685084,10,2
3,Odor On,91.50957083962294,10,2
4,Odor Off,93.50957083962294,10,2
7,Lick,94.50059480224384,10,2
1,Trial Start,95.50059480224384,11,2
2,Trial End,95.50059480224384,10,2
3,Odor On,100.04220684428056,11,2
4,Odor Off,102.04220684428056,11,2
2,Trial End,107.04220684428056,11,2
1,Trial Start,107.04220684428056,12,2
7,Lick,110.59708755094073,12,2
3,Odor On,111.59513507499746,12,2
7,Lick,112.21443135195595,12,2
7,Lick,112.68079657921041,12,2
7,Lick,112.79586567154173,12,2
7,Lick,112.9075645249567,12,2
4,Odor Off,113.59513507499746,12,2
2,Trial End,113.9075645249567,12,2
1,Trial Start,113.9075645249567,13,1
7,Lick,116.08585584002198,13,1
7,Lick,117.00333856788863,13,1
7,Lick,117.92193952464827,13,1
3,Odor On,119.08049728293484,13,1
7,Lick,119.09859128849602,13,1
7,Lick,119.56112683058215,13,1
7,Lick,119.69218604257722,13,1
7,Lick,119.7606975497739,13,1
7,Lick,119.89433079049901,13,1
7,Lick,120.69391831184308,13,1
5,Reward On,121.08049728293484,13,1
4,Odor Off,121.08049728293484,13,1
6,Reward Off,121.58049728293484,13,1
7,Lick,121.69029330988916,13,1
7,Lick,121.7549329543597,13,1
7,Lick,122.137165179676,13,1
7,Lick,122.5207696860968,13,1
7,Lick,122.90579060013704,13,1
7,Lick,123.28173303338743,13,1
7,Lick,123.66061573656306,13,1
7,Lick,124.03442465845178,13,1
1,Trial Start,125.03442465845178,14,1
2,Trial End,125.03442465845178,13,1
7,Lick,125.48197035476792,14,1
3,Odor On,129.9880083771493,14,1
4,Odor Off,131.9880083771493,14,1
5,Reward On,131.9880083771493,14,1
7,Lick,132.1872781424083,14,1
6,Reward Off,132.4880083771493,14,1
7,Lick,132.57002595987035,14,1
7,Lick,132.65564347659378,14,1
7,Lick,132.72244085430066,14,1
7,Lick,132.81752057684483,14,1
7,Lick,132.88069407852853,14,1
7,Lick,133.67396169925004,14,1
7,Lick,134.05365233614222,14,1
7,Lick,134.12790819445695,14,1
7,Lick,134.2173031374266,14,1
7,Lick,134.78094613660994,14,1
7,Lick,134.8649549781241,14,1
7,Lick,134.9541889336802,14,1
2,Trial End,135.9541889336802,14,1
1,Trial Start,135.9541889336802,15,1
3,Odor On,140.83458181969812,15,1
7,Lick,142.35309577860892,15,1
7,Lick,142.44795317197747,15,1
4,Odor Off,142.83458181969812,15,1
5,Reward On,142.83458181969812,15,1
7,Lick,143.04031542325808,15,1
7,Lick,143.11907733317506,15,1
7,Lick,143.18890250534386,15,1
6,Reward Off,143.33458181969812,15,1
7,Lick,143.5764190348381,15,1
7,Lick,143.9520816150939,15,1
7,Lick,144.52803188156193,15,1
7,Lick,144.9063712794762,15,1
7,Lick,145.29426581319575,15,1
7,Lick,145.3813800724046,15,1
7,Lick,147.35422452529997,15,1
2,Trial End,148.35422452529997,15,1
1,Trial Start,148.35422452529997,16,2
7,Lick,151.2453557394542,16,2
3,Odor On,153.246658376474,16,2
4,Odor Off,155.246658376474,16,2
7,Lick,155.25161636679152,16,2
1,Trial Start,156.25161636679152,17,1
2,Trial End,156.25161636679152,16,2
7,Lick,161.32585861702097,17,1
3,Odor On,161.34255705017335,17,1
7,Lick,161.83860032218107,17,1
7,Lick,162.94457898725358,17,1
7,Lick,163.03272177369738,17,1
4,Odor Off,163.34255705017335,17,1
5,Reward On,163.34255705017335,17,1
7,Lick,163.54018956928522,17,1
6,Reward Off,163.84255705017335,17,1
7,Lick,164.3237207683321,17,1
7,Lick,164.6982908463443,17,1
7,Lick,164.78501089264958,17,1
7,Lick,164.86775731532734,17,1
7,Lick,164.93292221196947,17,1
7,Lick,165.02740066704638,17,1
7,Lick,165.09685317359984,17,1
7,Lick,165.482789420342,17,1
7,Lick,165.87159294757518,17,1
7,Lick,166.23895076497794,17,1
7,Lick,166.3198792201459,17,1
7,Lick,168.13228139216884,17,1
7,Lick,168.22321467140912,17,1
7,Lick,168.33975928479768,17,1
1,Trial Start,169.33975928479768,18,1
2,Trial End,169.33975928479768,17,1
7,Lick,172.08499998303935,18,1
7,Lick,172.20210905914112,18,1
3,Odor On,174.09162010572095,18,1
7,Lick,176.0906729492328,18,1
4,Odor Off,176.09162010572095,18,1
5,Reward On,176.09162010572095,18,1
7,Lick,176.17097886415792,18,1
7,Lick,176.25694119293465,18,1
6,Reward Off,176.59162010572095,18,1
7,Lick,176.62852392365588,18,1
7,Lick,176.7188756732066,18,1
7,Lick,177.9013695058593,18,1
7,Lick,178.6787831772328,18,1
7,Lick,178.75170094432553,18,1
7,Lick,178.8321530343763,18,1
7,Lick,178.90459496617245,18,1
7,Lick,179.7089953231411,18,1
7,Lick,179.7832147630918,18,1
2,Trial End,180.7832147630918,18,1
1,Trial Start,180.7832147630918,19,2
7,Lick,183.51619247982578,19,2
3,Odor On,185.5091270158902,19,2
4,Odor Off,187.5091270158902,19,2
7,Lick,189.50269879856452,19,2
2,Trial End,190.50269879856452,19,2
1,Trial Start,190.50269879856452,20,1
3,Odor On,195.6087822771789,20,1
7,Lick,196.80862831210695,20,1
