event_code,event_name,timestamp,trial_number,trial_type
1,Trial Start,0.0,1,1
7,Lick,0.8532463847707621,1,1
7,Lick,0.9873730455764551,1,1
3,Odor On,5.3604853946865285,1,1
7,Lick,7.168150151005847,1,1
7,Lick,7.262057415236879,1,1
4,Odor Off,7.3604853946865285,1,1
5,Reward On,7.3604853946865285,1,1
7,Lick,7.36379792677728,1,1
7,Lick,7.435671366599068,1,1
7,Lick,7.819123358370569,1,1
6,Reward Off,7.8604853946865285,1,1
7,Lick,8.190821162175599,1,1
7,Lick,8.78969795771504,1,1
7,Lick,8.868589347344999,1,1
7,Lick,9.235616761837681,1,1
7,Lick,9.32908861932145,1,1
7,Lick,10.30611185874773,1,1
7,Lick,10.977721013642357,1,1
7,Lick,11.059312376346986,1,1
2,Trial End,12.059312376346986,1,1
1,Trial Start,12.059312376346986,2,1
7,Lick,16.318731844829014,2,1
3,Odor On,16.820980461704455,2,1
4,Odor Off,18.820980461704455,2,1
5,Reward On,18.820980461704455,2,1
6,Reward Off,19.320980461704455,2,1
7,Lick,19.81523029492243,2,1
7,Lick,19.899350181531172,2,1
7,Lick,21.285344152672916,2,1
7,Lick,23.314856597789937,2,1
2,Trial End,24.314856597789937,2,1
1,Trial Start,24.314856597789937,3,1
7,Lick,28.795643383404926,3,1
3,Odor On,29.294587184815242,3,1
7,Lick,29.297523810692333,3,1
4,Odor Off,31.294587184815242,3,1
5,Reward On,31.294587184815242,3,1
7,Lick,31.29937514110987,3,1
7,Lick,31.66749123913527,3,1
7,Lick,31.744668034593165,3,1
6,Reward Off,31.794587184815242,3,1
7,Lick,31.831205617327477,3,1
7,Lick,31.921192080935025,3,1
7,Lick,32.0002557497647,3,1
7,Lick,32.58198681328081,3,1
7,Lick,33.55540683615259,3,1
7,Lick,33.942073390917166,3,1
2,Trial End,34.942073390917166,3,1
1,Trial Start,34.942073390917166,4,2
7,Lick,35.83164386170941,4,2
7,Lick,35.96589864011024,4,2
7,Lick,36.08413339128472,4,2
7,Lick,36.19838700943792,4,2
7,Lick,38.11991862580851,4,2
3,Odor On,39.83958458071646,4,2
7,Lick,40.42609523359258,4,2
7,Lick,40.52278760968556,4,2
